楽曲,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,曲,,,,,,,MV,,,,,アルバム,
,No,曲名,英語タイトル,作詞,作曲,編曲,MV or 曲URL,動画ID,公開日,MV,時間,URL,MVID,ミニアルバム,フルアルバム
,1,秒針を噛む,Byoushinwo Kamu,ACAね,ACAね，ぬゆり,ぬゆり,https://youtu.be/GJI4Gv7NbmE?si=eAjaXJP9akGgyb8Z,GJI4Gv7NbmE,2018/06/04,Waboku,4:33,https://youtu.be/GJI4Gv7NbmE?si=eAjaXJP9akGgyb8Z,GJI4Gv7NbmE,正しい偽りからの起床,潜潜話
,2,脳裏上のクラッカー,Nouriueno Cracker,ACAね,ACAね,100回嘔吐,https://youtu.be/3iAXclHlTTg?si=lGHZcOwG1QxWwxyg,3iAXclHlTTg,2018/10/02,Waboku,4:29,https://youtu.be/3iAXclHlTTg?si=lGHZcOwG1QxWwxyg,3iAXclHlTTg,正しい偽りからの起床,潜潜話
,3,ヒューマノイド,Humanoid,ACAね,ACAね,関口昌大，ラムシーニ，坂井直樹,https://youtu.be/GAB26GgJ8V8?si=CpcfmUHYy6WZG7gj,GAB26GgJ8V8,2018/11/06,sakiyama,4:20,https://youtu.be/GAB26GgJ8V8?si=CpcfmUHYy6WZG7gj,GAB26GgJ8V8,正しい偽りからの起床,潜潜話
,4,サターン,Saturn,ACAね,ACAね,久保田真悟,https://youtu.be/Ni5jPjvGxtw,Ni5jPjvGxtw,-,-,-,-,-,正しい偽りからの起床,-
,5,雲丹と栗,Uni To Kuri,ACAね,ACAね,100回嘔吐,https://youtu.be/OtF5VtmhjnQ,OtF5VtmhjnQ,-,-,-,-,-,正しい偽りからの起床,-
,6,君がいて水になる,Kimigaite Mizuninaru,ACAね,ACAね,有機酸,https://youtu.be/8jZ8Plz_SSM,8jZ8Plz_SSM,-,-,-,-,-,正しい偽りからの起床,-
,7,眩しいDNAだけ,Mabushii DNA Dake,ACAね,ACAね,ぬゆり,https://youtu.be/VJy8qZ77bpE,VJy8qZ77bpE,2019/02/04,sakiyama,3:58,https://youtu.be/VJy8qZ77bpE?si=My7t5BxsmxKYp-w3,VJy8qZ77bpE,今は今で誓いは笑みで,潜潜話
,8,正義,Seigi,ACAね,ACAね,久保田真悟,https://youtu.be/7kUbX4DoZoc?si=RxKXqUZ9Zo-51uy_,7kUbX4DoZoc,2019/05/08,革蝉,4:40,https://youtu.be/7kUbX4DoZoc?si=RxKXqUZ9Zo-51uy_,7kUbX4DoZoc,今は今で誓いは笑みで,潜潜話
,9,勘冴えて悔しいわ,Kan Saete Kuyashiiwa,ACAね,ACAね,ラムシーニ，100回嘔吐，ZTMY,https://youtu.be/4QePrv24TBU?si=w2nKEcXeG6CPlutS,4QePrv24TBU,2021/03/30,sakiyama,4:04,https://youtu.be/4QePrv24TBU?si=w2nKEcXeG6CPlutS,4QePrv24TBU,今は今で誓いは笑みで,潜潜話
